time,observed_speed,target_speed,observed_distance
1711027918.47639,0.023955227467995062,0.25,0.020000000000000462
1711027918.52246,0.13031365429055408,0.25,0.020000000000000462
1711027918.569288,0.2710830943796017,0.25,0.020000000000000462
1711027918.631892,0.41060048879828365,0.25,0.020000000000000462
1711027918.678727,0.4407763974714883,0.25,0.020000000000000462
1711027918.724408,0.3713594842539281,0.25,0.010000000000000675
1711027918.771768,0.252136330438171,0.25,0.010000000000000675
1711027918.818373,0.13357892957028514,0.25,0.010000000000000675
1711027918.879695,0.11648358850532584,0.25,0.010000000000000675
1711027918.927201,0.2273368829961667,0.25,0.010000000000000675
1711027918.989448,0.3676985141574594,0.25,0.010000000000000675
1711027919.021531,0.43866010553534096,0.25,0.03000000000000025
1711027919.067829,0.4319906365542961,0.25,0.03000000000000025
1711027919.130493,0.3122929628340059,0.25,0.019999999999999574
1711027919.177325,0.19384363820020767,0.25,0.019999999999999574
1711027919.223941,0.10122741964912238,0.25,0.019999999999999574
1711027919.270478,0.1879740259785726,0.25,0.019999999999999574
1711027919.317107,0.2943514365038822,0.25,0.019999999999999574
1711027919.379385,0.40232404536796446,0.25,0.019999999999999574
1711027919.426374,0.39673831989459113,0.25,0.019999999999999574
1711027919.472764,0.31180968796376857,0.25,0.019999999999999574
1711027919.520384,0.19329525949864385,0.25,0.019999999999999574
1711027919.581295,0.10114612488283978,0.25,0.019999999999999574
1711027919.627827,0.1573313918949062,0.25,0.019999999999999574
1711027919.674412,0.28574006342282104,0.25,0.019999999999999574
1711027919.721594,0.4233865366584097,0.25,0.019999999999999574
1711027919.768647,0.5082706058051569,0.25,0.019999999999999574
1711027919.815598,0.41301745251604505,0.25,0.019999999999999574
1711027919.877344,0.29392409425036525,0.25,0.009999999999999787
1711027919.925522,0.17589584921188164,0.25,0.009999999999999787
1711027919.9886,0.09832391102797286,0.25,0.009999999999999787
1711027920.020372,0.20866908835188516,0.25,0.009999999999999787
1711027920.066365,0.3303721827017437,0.25,0.009999999999999787
1711027920.12856,0.41910511253476257,0.25,0.0
1711027920.175798,0.37051797583362855,0.25,0.0
1711027920.237528,0.2577061866083832,0.25,0.0
1711027920.28537,0.13961564852545363,0.25,0.0
1711027920.332958,0.04308395562064508,0.25,0.0
1711027920.381519,0.062028120350387315,0.25,0.0
1711027920.427397,0.2180689772373488,0.25,0.0
1711027920.474882,0.3586090797890538,0.25,0.0
1711027920.52257,0.4728847340652845,0.25,0.0
1711027920.569259,0.4059689701051752,0.25,0.0
1711027920.632371,0.2868989630834834,0.25,0.0
